District,Branch,Deposits,Advances,CD Ratio
Araria,156,426343,246210,57.75
Arwal,60,169623,48465,28.57
Aurangabad,184,733820,329463,44.90
Begusarai,224,865453,442345,51.11
Bhagalpur,278,1369598,494104,36.08
Bhojpur,232,1098995,299001,27.21
Buxar,153,587222,216502,36.87
Darbhanga,242,1160550,375116,32.32
Gaya,305,1558743,592242,37.99
Gopalganj,182,798062,252152,31.60
Jamui,116,349189,148957,42.66
Jehanabad,95,383245,122966,
Kaimur (Bhabua),120,358637,,
Katihar,178,595510,291001,48.87
Khagaria,115,317517,179993,56.69
Kishanganj,108,294640,177649,60.29
Lakhisarai,79,323897,107154,33.08
Madhepura,112,322628,164719,51.06
Madhubani,274,895963,284104,31.71
Munger,132,693826,189023,27.24
Muzaffarpur,381,1770020,827631,46.76
Nalanda,249,1004143,321701,32.04
Nawada,137,500844,200249,39.98
Pashchim Champaran,205,123431,,56.59
Patna,921,15895121,4081274,35.22
Purbi Champaran,278,984024,491471,49.95
Purnia,221,642371,469145,73.03
Rohtas,226,,,
Saharsa,102,401650,166900,41.55
Samastipur,285,460381,,45.81
Saran,262,347599,,26.20
Sheikhpura,,70415,,39.28
Sheohar,46,44061,,53.45
Sitamarhi,169,234146,,38.92
Siwan,242,405177,,33.49
Supaul,120,170767,,46.66
Vaishali,241,527516,,52.97
