District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
East Garo Hills,21.05,112,0,1,231.67,401,144.19,237
East Khasi Hills,0.96,10,0,0,678.89,773,543.84,542
North Garo Hills,29.91,107,0,0,185.47,362,95.04,148
Ri Bhoi,0.81,14,1.75,2,1122.81,1201,507.67,410
South Garo Hills,18.19,56,0,0,182.91,242,84.18,105
South West Garo Hills,0,0,0,0,374.61,422,201,165
South West Khasi Hills,0,0,0,0,482.96,379,237.36,159
West Garo Hills,6.05,106,1,1,922.7,1133,674.88,594
West Khasi Hills,0.87,11,3.96,5,1496.05,1362,740.16,596
