District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Other Msme Amt,Other Msme No.,KVIC Amt,KVIC No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,387.62,686,11.76,5,6.46,7,0,0,0,0,369.4,674
East Khasi Hills,10697.24,3314,1.83,3,164.26,50,2016.02,8,1765.75,183,6749.38,3070
North Garo Hills,310.25,403,0,0,0,0,0,0,0,0,310.25,403
Ri Bhoi,1291.78,1178,31.4,9,43.38,29,0,0,169.55,31,1047.45,1109
South Garo Hills,274.3,252,0,0,3.07,2,0,0,7.47,1,263.76,249
South West Garo Hills,328.93,271,7.01,1,9.52,2,0,0,0.08,1,312.32,267
South West Khasi Hills,92.24,55,0,0,3.97,2,0,0,3.57,1,84.7,52
West Garo Hills,1814.85,1889,6.38,5,16.14,9,0,0,309.99,177,1482.34,1698
West Khasi Hills,727.3,516,2.73,1,25.83,20,0,0,31.1,4,667.64,491
