District,Weaker Section Loans Amt,Weaker Section Loans No.,Total Other PS Disbursement Amt,Total Other PS Disbursement No.,Informal Credit Amt,Informal Credit A/C,Renewable Energy Amt,Renewable Energy A/C,Social Infrastructure Amt,Social Infrastructure A/C,Housing Amt (PS),Housing A/C (PS),Education Amt (PS),Education A/C (PS)
East Garo Hills,810.44,1513,142.42,422,103.96,372,0,0,0,0,20.23,35,18.23,15
East Khasi Hills,16665.13,10668,7578.3,3890,896.85,2196,20,1,39.13,7,3959.74,696,2662.58,990
North Garo Hills,624.03,764,30.63,8,0,0,0,0,0,0,24.81,4,5.82,4
Ri Bhoi,4736.7,5756,901.16,389,0.01,1,28.27,140,1.67,1,766.72,149,104.49,98
South Garo Hills,238.08,288,59.71,22,0,0,0,0,0,0,54.42,17,5.29,5
South West Garo Hills,1031.94,1298,90.8,20,2.47,7,0,0,0,0,80.69,9,7.64,4
South West Khasi Hills,209.58,257,124.83,40,0,0,0,0,0,0,105.59,19,19.24,21
West Garo Hills,3380.01,4076,1173.57,1077,174.82,636,0,0,5,1,877.96,357,115.79,83
West Khasi Hills,1094.51,1602,254.93,103,0,0,0,0,0,0,202.1,34,52.83,69
