District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,91,0,98,0,0,19,0,0,1,209
Changlang,645,88,338,0,10,210,131,0,64,1486
Dibang Valley,76,2,87,0,0,23,3,0,2,193
East Kameng,37,3,80,0,0,16,3,0,4,143
East Siang,316,35,550,20,1,363,226,67,1874,3452
Kamle,34,0,21,0,0,17,0,0,1,73
Kra Daadi,47,7,163,0,1,30,7,0,96,351
Kurung Kumey,0,0,10,0,0,1,35,0,1,47
Lepa Rada,21,1,58,0,11,4,1,0,2,98
Lohit,1724,10,1724,3,1,727,23,0,5,4217
Longding,198,3,5,0,1,55,225,0,41,528
Lower Dibang Valley,508,68,432,0,4,142,15,0,0,1169
Lower Siang,18,0,24,0,0,11,20,0,3,76
Lower Subansiri,326,17,404,1,155,193,182,7,210,1495
Namsai,897,42,798,0,2,270,755,8,12,2784
Pakke Kessang,189,1,152,0,0,80,20,0,1,443
Papum Pare,3581,190,5725,55,101,3036,4772,212,8683,26355
Shi Yomi,0,0,8,0,0,1,1,0,12,22
Siang,0,0,29,0,0,0,0,0,5,34
Tawang,29,16,354,2,64,41,465,0,219,1190
Tirap,378,2,343,0,4,184,60,0,17,988
Upper Siang,0,0,27,0,0,7,2,0,8,44
Upper Subansiri,87,13,158,0,0,27,3,1,89,378
West Kameng,310,16,664,21,157,132,735,19,400,2454
West Siang,467,10,812,21,1,230,54,46,283,1924
