District,NRLM Os,NRLM Irregular,NRLM NPA,NULM Os,NULM NPA,PMEGP Os,PMEGP NPA,SHG Os,SHG NPA,SUI Os,SUI NPA
Anjaw,0,0,0,0,0,3,1,0,0,0,0
Changlang,0,0,0,0,0,18,10,50,38,12,6
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,1,0,0,5,1,18,12,56,2,4,0
East Siang,100,32,25,0,0,50,30,30,6,3,0
Kamle,0,0,0,0,0,1,0,0,0,0,0
Kra Daadi,86,2,4,0,0,29,16,87,5,0,0
Kurung Kumey,1,0,0,0,0,59,36,3,0,0,0
Lepa Rada,0,0,0,0,0,16,9,78,2,0,0
Lohit,34,0,0,0,0,12,0,39,3,2,0
Longding,0,0,0,0,0,2,1,35,35,2,0
Lower Dibang Valley,0,0,0,0,0,3,1,62,0,0,0
Lower Siang,0,0,0,0,0,5,1,0,0,0,0
Lower Subansiri,1,1,0,0,0,135,89,162,1,1,0
Namsai,0,0,0,0,0,27,3,67,2,2,0
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,303,105,76,58,1,255,136,242,68,126,3
Shi Yomi,0,0,0,0,0,0,0,18,0,0,0
Siang,0,0,0,0,0,17,10,16,0,0,0
Tawang,0,0,0,0,0,27,4,2,0,26,0
Tirap,1,1,0,0,0,17,8,9,4,6,0
Upper Siang,0,0,0,0,0,21,9,81,7,0,0
Upper Subansiri,1,1,1,1,0,95,50,82,6,1,0
West Kameng,0,0,0,3,0,61,23,69,36,22,0
West Siang,32,29,11,0,0,62,37,116,23,2,0
