District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Pct
Anjaw,1,4,3,8,11.75
Changlang,307,18,10,335,13.64
Dibang Valley,6,6,3,15,11.67
East Kameng,109,64,70,243,27.52
East Siang,292,189,89,570,12.08
Kamle,2,31,10,43,44.75
Kra Daadi,208,59,28,295,27.48
Kurung Kumey,3,60,19,82,54.18
Lepa Rada,43,9,10,62,17.52
Lohit,127,114,43,284,5.63
Longding,37,12,10,59,52.61
Lower Dibang Valley,71,11,4,86,11.31
Lower Siang,15,23,10,48,9.77
Lower Subansiri,181,125,166,472,17.9
Namsai,133,88,32,253,2.43
Pakke Kessang,4,18,6,28,27.06
Papum Pare,1091,933,667,2691,17.76
Shi Yomi,0,8,2,10,51.45
Siang,0,12,5,17,23.5
Tawang,56,144,135,335,10.4
Tirap,82,31,15,128,23.33
Upper Siang,48,26,6,80,26.87
Upper Subansiri,63,193,48,304,28.58
West Kameng,130,266,218,614,2.57
West Siang,384,138,82,604,22.87
