District,Micro Tl,Micro Wc,Small Tl,Small Wc,Medium Tl,Medium Wc,KVIC Tl,KVIC Wc,Others under MSMEs A/C,Total Msme Disbursement
Anjaw,3,2,0,0,0,0,0,0,0,5
Changlang,15,8,3,1,0,0,0,0,0,27
Dibang Valley,1,1,1,0,0,0,0,0,0,3
East Kameng,25,11,2,0,0,0,0,0,0,38
East Siang,248,28,14,3,0,0,0,0,55,348
Kamle,5,3,1,1,0,0,0,0,0,10
Kra Daadi,20,15,4,3,0,0,0,0,0,42
Kurung Kumey,8,6,1,0,0,0,0,0,0,15
Lepa Rada,3,2,0,0,0,0,0,0,1,6
Lohit,52,24,5,2,1,0,0,0,9,93
Longding,12,12,4,2,0,0,0,0,0,30
Lower Dibang Valley,24,3,3,2,0,0,0,0,7,39
Lower Siang,10,5,4,2,0,0,0,0,20,41
Lower Subansiri,23,15,10,3,7,0,0,0,30,88
Namsai,42,53,2,4,0,0,0,0,6,107
Pakke Kessang,4,3,1,0,0,0,0,0,0,8
Papum Pare,1160,139,120,41,17,3,5,0,114,1599
Shi Yomi,1,0,0,0,0,0,0,0,0,1
Siang,2,1,1,0,0,0,0,0,4,8
Tawang,24,15,15,8,6,0,0,0,1,69
Tirap,25,15,2,1,0,0,0,0,0,43
Upper Siang,4,2,5,3,0,0,0,0,3,17
Upper Subansiri,32,15,14,8,6,0,0,0,35,110
West Kameng,57,39,23,11,10,0,0,0,13,153
West Siang,31,17,3,1,1,0,0,0,26,79
