district,Micro,Small,Medium,KVIC,Other MSME,Total MSME NPA
Anjaw,2,0,0,0,0,2
Changlang,22,0,0,0,0,22
Dibang Valley,5,0,0,0,0,5
East Kameng,43,1,0,0,0,44
East Siang,246,25,0,0,30,301
Kamle,25,1,0,0,0,26
Kra Daadi,18,3,0,0,0,21
Kurung Kumey,42,8,0,0,1,51
Lepa Rada,13,0,0,0,5,18
Lohit,31,0,0,0,2,33
Longding,16,2,0,0,0,18
Lower Dibang Valley,9,0,0,0,1,10
Lower Siang,3,0,0,0,4,7
Lower Subansiri,125,21,0,0,10,156
Namsai,14,0,0,0,1,15
Pakke Kessang,5,0,0,0,0,5
Papum Pare,1928,322,4,35,124,2413
Shi Yomi,12,0,0,0,0,12
Siang,10,0,0,0,3,13
Tawang,40,8,0,0,0,48
Tirap,17,0,0,0,0,17
Upper Siang,12,3,0,0,1,16
Upper Subansiri,71,5,0,0,53,129
West Kameng,47,1,0,0,0,48
West Siang,122,5,0,1,15,143
