district,KCC Disbursement,KCC Outstanding,Rupay card activated,AH KCC Disbursement,AH KCC Outstanding,AH KCC Rupay Card Activated,Fishery KCC Disbursement,Fishery KCC Outstanding,Fishery KCC Rupay card activated
Anjaw,8,91,12,0,0,0,0,0,0
Changlang,18,585,56,9,9,0,9,10,0
Dibang Valley,36,88,34,0,0,0,0,0,0
East Kameng,1,42,18,0,0,0,0,0,0
East Siang,114,1028,596,7,15,1,2,9,0
Kamle,0,110,6,0,0,0,0,0,0
Kra Daadi,0,44,30,0,0,0,0,0,0
Kurung Kumey,0,55,55,0,0,0,0,0,0
Lepa Rada,2,219,119,0,0,0,0,0,0
Lohit,159,1724,252,4,7,0,6,12,0
Longding,37,231,35,0,0,0,0,0,0
Lower Dibang Valley,122,651,219,2,5,0,0,1,0
Lower Siang,23,218,114,2,5,0,0,0,0
Lower Subansiri,18,944,688,0,0,0,0,0,0
Namsai,192,936,435,0,0,0,0,0,0
Pakke Kessang,10,185,7,0,0,0,0,0,0
Papum Pare,80,5886,3991,10,20,1,0,2,0
Shi Yomi,0,1,1,0,0,0,0,0,0
Siang,3,44,24,0,0,0,0,0,0
Tawang,1,65,56,0,0,0,0,0,0
Tirap,50,409,50,2,2,0,2,2,0
Upper Siang,4,94,43,0,0,0,0,0,0
Upper Subansiri,13,464,212,0,0,0,0,0,0
West Kameng,32,396,190,12,38,0,0,2,0
West Siang,7,621,121,0,1,0,0,1,0
