District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,87976,0,1,0,12252
Changlang,0,1092842,0,2,3478,152526
Dibang Valley,0,39117,0,1,1825,6767
East Kameng,720,260433,0,210,14273,42159
East Siang,57827498,1069167,524,5386952,53480,179458
Kamle,0,52981,0,0,0,7581
Kra Daadi,0,91776,0,0,27,11657
Kurung Kumey,0,55919,0,0,11513,10178
Lepa Rada,0,239273,0,3,2506,31312
Lohit,870,481511,0,506,1586,69140
Longding,0,331596,0,0,133,29540
Lower Dibang Valley,40136311,346657,0,3847707,19536,62969
Lower Siang,1,268737,0,116,3,34975
Lower Subansiri,46100,626426,0,12326,34457,117573
Namsai,119,552030,796,575,2278,89324
Pakke Kessang,0,65024,0,0,0,10745
Papum Pare,150855805,3303641,4457,19887853,335432,870249
Shi Yomi,0,31360,0,0,1726,5973
Siang,0,106349,0,0,4,13226
Tawang,34707777,308989,361,2758462,35504,57813
Tirap,0,513543,0,9,924,77204
Upper Siang,0,183041,0,0,5363,24076
Upper Subansiri,320,371651,0,160,10126,55078
West Kameng,41823,845472,274,8253,40798,165173
West Siang,44129,557485,51,12579,42229,96811
