District,Micro No.,Small No.,Medium No.,Other Msme No.,Msme Total No.
Anjaw,9,1,0,0,10
Changlang,333,4,0,0,337
Dibang Valley,14,5,0,0,19
East Kameng,241,16,0,9,266
East Siang,2571,139,63,230,3003
Kamle,0,0,0,0,0
Kra Daadi,238,12,4,1,255
Kurung Kumey,0,0,0,2,2
Lepa Rada,67,0,0,32,99
Lohit,251,22,0,22,295
Longding,53,8,0,0,61
Lower Dibang Valley,233,28,0,28,289
Lower Siang,53,13,0,62,128
Lower Subansiri,537,65,0,141,743
Namsai,340,44,0,31,415
Pakke Kessang,27,2,0,0,29
Papum Pare,9808,1366,294,767,12235
Shi Yomi,0,0,0,0,0
Siang,23,1,0,15,39
Tawang,403,105,1,11,520
Tirap,128,15,0,0,143
Upper Siang,72,16,0,44,132
Upper Subansiri,264,47,0,205,516
West Kameng,730,72,1,37,840
West Siang,711,28,1,88,828
