district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,0,0
Changlang,0,0,0,3,23,26
Dibang Valley,0,0,0,5,58,63
East Kameng,0,0,0,0,81,81
East Siang,0,0,2,38,114,154
Kamle,0,0,0,0,1,1
Kra Daadi,0,0,2,19,64,85
Kurung Kumey,0,0,0,17,45,62
Lepa Rada,0,0,0,4,3,7
Lohit,0,0,0,4,7,11
Longding,0,0,0,0,3,3
Lower Dibang Valley,0,0,0,11,43,54
Lower Siang,0,0,0,0,5,5
Lower Subansiri,1,0,0,41,211,253
Namsai,0,0,0,14,31,45
Pakke Kessang,0,0,0,0,10,10
Papum Pare,5,5,6,494,936,1446
Shi Yomi,0,0,0,14,13,27
Siang,0,0,0,1,0,1
Tawang,0,0,0,59,24,83
Tirap,0,0,0,7,24,31
Upper Siang,0,0,0,4,7,11
Upper Subansiri,0,0,1,6,107,114
West Kameng,1,0,0,26,37,64
West Siang,0,0,1,24,41,66
