District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,10,3,5,0,0,0,18
Changlang,538,24,183,0,0,0,745
Dibang Valley,15,3,7,1,0,0,26
East Kameng,200,2,15,1,0,0,218
East Siang,452,30,33,5,0,0,520
Kamle,0,3,0,0,0,0,3
Kra Daadi,63,2,4,6,0,0,75
Kurung Kumey,208,1,11,0,0,0,220
Lepa Rada,24,1,8,0,0,0,33
Lohit,71,18,64,2,0,0,155
Longding,1320,11,13,2,0,0,1346
Lower Dibang Valley,136,4,7,0,0,0,147
Lower Siang,251,17,5,2,0,0,275
Lower Subansiri,587,27,65,1,0,0,680
Namsai,93,19,1632,3,0,0,1747
Pakke Kessang,68,8,7,1,0,0,84
Papum Pare,4832,264,481,74,0,7,5658
Shi Yomi,22,0,49,0,0,0,71
Siang,11,1,5,0,0,0,17
Tawang,54,19,1301,6,0,0,1380
Tirap,874,16,40,2,0,0,932
Upper Siang,166,1,34,1,0,0,202
Upper Subansiri,70,3,7,1,0,1,82
West Kameng,269,28,2258,13,1,2,2571
West Siang,69,33,360,5,0,0,467
