District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,526,93,619,0
Changlang,0,0,10,2720,1033,3763,26
Dibang Valley,0,0,0,424,347,771,63
East Kameng,0,0,92,1757,972,2821,81
East Siang,0,4,78,4440,3547,8069,154
Kamle,0,0,1,123,32,156,1
Kra Daadi,0,0,18,822,1237,2077,85
Kurung Kumey,0,0,0,424,348,772,62
Lepa Rada,0,0,14,994,573,1581,7
Lohit,1,0,8,1892,838,2739,11
Longding,0,0,0,1228,506,1734,3
Lower Dibang Valley,0,0,1,1376,1607,2984,54
Lower Siang,0,0,26,881,312,1219,5
Lower Subansiri,1,0,39,2845,1562,4447,253
Namsai,1,0,4,1549,636,2190,45
Pakke Kessang,0,0,1,240,130,371,10
Papum Pare,0,14,746,15545,11885,28190,1446
Shi Yomi,0,0,1,149,97,247,27
Siang,0,0,0,309,96,405,1
Tawang,0,0,14,1465,1332,2811,83
Tirap,0,0,1,2162,858,3021,31
Upper Siang,0,0,0,873,447,1320,11
Upper Subansiri,0,0,88,2210,1133,3431,114
West Kameng,2,0,17,3188,1487,4694,64
West Siang,0,2,71,2507,1560,4140,66
