district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,12801.45,0.0,0.0,12801.45,2457.02,0.0,0.0,2457.02,19.19,0.0,0.0,19.19
Changlang,61262.17,2361.44,0.0,63623.61,14477.92,669.5,254.64,15402.06,23.63,28.35,0.0,24.21
Dibang Valley,7103.68,725.05,0.0,7828.73,1785.67,1189.65,66.59,3041.91,25.14,164.08,0.0,38.86
East Kameng,0.0,20407.43,0.0,20407.43,16.72,14062.31,11.28,14090.31,0.0,68.91,0.0,69.04
East Siang,27905.72,91807.91,0.0,119713.63,6271.72,35234.11,191.88,41697.71,22.47,38.38,0.0,34.83
Kamle,2966.0,0.0,0.0,2966.0,776.53,0.0,0.0,776.53,26.18,0.0,0.0,26.18
Kra Daadi,3844.54,0.0,0.0,3844.54,2281.36,4916.89,2728.56,9926.81,59.34,0.0,0.0,258.21
Kurung Kumey,4765.29,1929.57,0.0,6694.86,2828.1,1360.31,0.0,4188.41,59.35,70.5,0.0,62.56
Lohit,5773.7,35294.24,0.0,41067.94,2182.16,11335.92,123.03,13641.11,37.79,32.12,0.0,33.22
Longding,12695.19,0.0,0.0,12695.19,8133.29,0.0,0.0,8133.29,64.07,0.0,0.0,64.07
Lower Dibang Valley,1150.65,40756.21,0.0,41906.86,249.68,10479.31,54.95,10783.94,21.7,25.71,0.0,25.73
Lower Subansiri,13030.68,52691.03,0.0,65721.71,4989.06,20331.29,2.44,25322.79,38.29,38.59,0.0,38.53
Namsai,20994.07,24272.05,0.0,45266.12,6704.44,8240.46,0.0,14944.9,31.93,33.95,0.0,33.02
Pakke Kessang,2100.48,0.0,0.0,2100.48,1809.32,0.0,0.0,1809.32,86.14,0.0,0.0,86.14
Papum Pare,77707.77,903383.91,0.0,981091.68,30816.98,277119.93,45.06,307981.97,39.66,30.68,0.0,31.39
Shi Yomi,5131.03,1345.84,0.0,6476.87,860.57,282.43,0.0,1143.0,16.77,20.99,0.0,17.65
Siang,10074.09,0.0,0.0,10074.09,2202.88,0.0,0.0,2202.88,21.87,0.0,0.0,21.87
Tawang,24642.13,102470.54,0.0,127112.67,2668.4,9574.78,226.02,12469.2,10.83,9.34,0.0,9.81
Tirap,30026.17,1984.15,0.0,32010.32,12380.68,1061.95,18.28,13460.91,41.23,53.52,0.0,42.05
Upper Siang,31079.83,2337.17,0.0,33417.0,4935.57,681.43,0.63,5617.63,15.88,29.16,0.0,16.81
Upper Subansiri,12961.2,30680.66,0.0,43641.86,3472.11,17250.11,176.22,20898.44,26.79,56.22,0.0,47.89
West Kameng,95083.1,315.7,0.0,95398.8,22907.52,1245.08,216.67,24369.27,24.09,394.39,0.0,25.54
West Siang,45317.71,59282.12,0.0,104599.82999999999,14205.93,24326.62,54.45,38587.0,13.77,39.94,0.0,36.97
