district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,10,3,5,0,0,0,18
Changlang,660,41,353,0,0,0,1054
Dibang Valley,60,8,20,1,0,0,89
East Kameng,1017,23,73,1,0,0,1114
East Siang,1327,224,269,7,0,1,1828
Kamle,0,3,0,0,0,0,3
Kra Daadi,221,8,9,7,1,1,247
Kurung Kumey,587,14,22,0,0,0,623
Lepa Rada,313,37,64,0,0,0,414
Lohit,122,39,149,3,0,0,313
Longding,1320,11,13,2,0,0,1346
Lower Dibang Valley,284,26,86,0,0,0,396
Lower Siang,251,17,5,2,0,0,275
Lower Subansiri,1998,72,88,1,0,0,2159
Namsai,148,27,1714,3,0,0,1892
Pakke Kessang,68,8,7,1,0,0,84
Papum Pare,12901,1553,1710,75,2,8,16249
Shi Yomi,52,0,140,0,0,0,192
Siang,11,1,5,0,0,0,17
Tawang,69,22,1696,10,0,0,1797
Tirap,1167,23,466,2,0,0,1658
Upper Siang,230,9,158,1,0,0,398
Upper Subansiri,481,18,88,2,0,1,590
West Kameng,321,33,3331,14,1,2,3702
West Siang,505,59,525,5,0,0,1094
