District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1786,0,778,1008,1786,66,119.05,1747,1504,698
Changlang,45370,0,20334,25030,45364,3033,1403.04,47624,39484,13373
Dibang Valley,520,0,264,256,520,38,111.59,405,272,290
East Kameng,0,11059,7233,8437,15670,1275,680.18,12116,11034,3855
East Siang,29832,23417,24244,29693,53937,6184,2457.98,54029,38896,16087
Kamle,1413,0,520,893,1413,15,86.81,1346,475,288
Kra Daadi,2956,0,1099,1855,2954,24,158.45,3847,2144,737
Kurung Kumey,3891,0,1456,2432,3888,574,275.17,4169,2267,1644
Lepa Rada,3075,0,1223,1845,3068,364,201.74,2843,2174,906
Lohit,3467,8070,5093,6731,11824,1054,509.92,11645,8378,5381
Longding,10938,0,3806,7131,10937,516,365.34,11363,9152,4356
Lower Dibang Valley,2165,11741,6325,7581,13906,997,568.08,14342,7967,6410
Lower Siang,21228,0,9794,11431,21225,877,517.46,17023,15487,2186
Lower Subansiri,4050,7747,5755,7366,13121,546,952.93,12820,7569,4447
Namsai,6745,15393,10287,11936,22223,680,1243.93,23035,19410,12857
Pakke Kessang,359,0,181,178,359,23,13.19,265,67,148
Papum Pare,21502,36281,26591,33920,60511,6261,46994.35,59589,40803,27840
Shi Yomi,1657,0,770,886,1656,143,254.53,2168,1319,778
Siang,4764,0,2511,2251,4762,120,387.07,3891,3478,1345
Tawang,2248,2471,2051,3276,5327,679,513.67,4255,2483,2851
Tirap,15421,0,6626,8790,15416,573,864.14,16943,12714,7636
Upper Siang,4195,0,1779,2416,4195,228,398.72,2342,1996,2758
Upper Subansiri,7360,13676,9292,11735,21027,2447,1548.5,22315,15296,8031
West Kameng,16395,0,7577,8815,16392,1145,1084.85,14876,9641,6371
West Siang,4101,11895,7381,8688,16069,1870,1166.6,14009,10677,7763
