district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,91,0,0,0,91
Changlang,593,454,0,0,1047
Dibang Valley,88,78,0,0,166
East Kameng,57,1540,0,1,1598
East Siang,1100,961,734,1,2796
Kamle,32,1,0,1,34
Kra Daadi,131,17,0,0,148
Kurung Kumey,55,264,0,0,319
Lepa Rada,220,556,0,0,776
Lohit,1846,468,0,0,2314
Longding,231,41,0,0,272
Lower Dibang Valley,690,215,0,2,907
Lower Siang,218,7,0,0,225
Lower Subansiri,1033,1779,1,1,2814
Namsai,1070,426,18,28,1542
Pakke Kessang,186,3,0,0,189
Papum Pare,6582,2825,111,27,9545
Shi Yomi,1,64,0,0,65
Siang,44,23,0,0,67
Tawang,94,79,0,6,179
Tirap,414,1307,0,0,1721
Upper Siang,94,152,0,0,246
Upper Subansiri,498,823,0,1,1322
West Kameng,484,925,1,4,1414
West Siang,619,286,8,3,916
