district,Target,Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,2,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,2,0,0,0,0,0
East Kameng,132,0,1,0,0,0
East Siang,173,12,100,32,25,28.65
Kamle,20,0,0,0,0,0
Kra Daadi,62,8,86,2,4,6.36
Kurung Kumey,7,0,1,0,0,0
Lohit,29,22,34,0,0,0
Longding,0,0,0,0,0,0
Lower Dibang Valley,104,26,0,0,0,0
Lower Subansiri,173,104,1,1,0,0
Namsai,146,40,0,0,0,0
Pakke Kessang,11,0,0,0,0,0
Papum Pare,125,128,657,105,76,26.25
Shi Yomi,4,0,0,0,0,0
Siang,96,14,0,0,0,0
Tawang,15,0,0,0,0,0
Tirap,0,1,1,1,0,0
Upper Siang,71,4,0,0,0,0
Upper Subansiri,71,37,1,1,1,100
West Kameng,36,0,0,0,0,0
West Siang,153,99,32,29,11,15.8
