district,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,1,2588,2588,3848,13
Changlang,1,44798,44427,53793,59
Dibang Valley,1,631,630,3922,38
East Kameng,0,13239,11792,27429,20
East Siang,2,42075,40172,37753,715
Kamle,0,899,899,2295,6
Kra Daadi,0,3141,3141,3382,30
Kurung Kumey,0,2273,1903,21181,55
Lepa Rada,1,2731,2481,10889,119
Lohit,3,11206,11022,18855,221
Longding,1,12253,12253,8326,22
Lower Dibang Valley,0,9473,9385,24925,229
Lower Siang,4,17606,17606,4770,114
Lower Subansiri,7,10094,9489,24054,693
Namsai,1,20952,20511,32442,350
Pakke Kessang,0,573,573,2160,6
Papum Pare,13,49988,43141,116298,2215
Shi Yomi,1,1673,1673,2787,0
Siang,2,3894,3894,2857,28
Tawang,2,3488,3061,21568,56
Tirap,0,14999,14491,26585,50
Upper Siang,7,2654,2429,20866,43
Upper Subansiri,24,16519,15254,28716,211
West Kameng,2,13126,11920,32293,193
West Siang,2,11922,11249,26770,136
