district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,80,0,0,0,80
Changlang,377,376,0,0,753
Dibang Valley,6,14,0,0,20
East Kameng,3,1408,0,0,1411
East Siang,96,679,5,3,783
Kamle,32,1,0,0,33
Kra Daadi,49,0,0,0,49
Kurung Kumey,5,28,0,0,33
Lepa Rada,60,477,0,0,537
Lohit,995,331,0,0,1326
Longding,126,41,0,0,167
Lower Dibang Valley,200,137,0,0,337
Lower Siang,2,3,0,0,5
Lower Subansiri,186,770,0,1,957
Namsai,156,203,0,0,359
Pakke Kessang,139,2,0,0,141
Papum Pare,2987,1376,9,13,4385
Shi Yomi,0,0,0,0,0
Siang,3,0,0,0,3
Tawang,1,15,0,0,16
Tirap,172,1207,0,0,1379
Upper Siang,0,64,0,0,64
Upper Subansiri,22,676,0,1,699
West Kameng,93,620,0,0,713
West Siang,400,198,2,2,602
