district,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP Outlet, Fixed Point CSP Outlets","Out Of Total CSP Outlet,Other CSP Outlets",Total CSP Outlet
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0
Changlang,7.0,3.0,0.0,10.0,8.0,9.0,0.0,17.0,47.0,6.0,53.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0
East Kameng,0.0,4.0,0.0,4.0,0.0,8.0,0.0,8.0,10.0,8.0,11.0
East Siang,5.0,11.0,0.0,16.0,0.0,10.0,0.0,10.0,50.0,14.0,80.0
Kamle,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kra Daadi,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,5.0
Kurung Kumey,1.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0
Lohit,3.0,3.0,0.0,6.0,1.0,4.0,0.0,5.0,4.0,1.0,8.0
Longding,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,7.0,1.0,8.0
Lower Dibang Valley,2.0,5.0,0.0,7.0,3.0,2.0,0.0,5.0,50.0,9.0,59.0
Lower Subansiri,5.0,6.0,0.0,11.0,3.0,4.0,0.0,7.0,28.0,3.0,30.0
Namsai,4.0,6.0,0.0,10.0,3.0,0.0,0.0,3.0,24.0,7.0,32.0
Pakke Kessang,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Papum Pare,10.0,51.0,0.0,61.0,22.0,90.0,0.0,112.0,72.0,4.0,86.0
Shi Yomi,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0,0.0,21.0
Tawang,3.0,7.0,0.0,10.0,3.0,10.0,0.0,13.0,13.0,1.0,15.0
Tirap,3.0,2.0,0.0,5.0,3.0,0.0,0.0,3.0,11.0,0.0,16.0
Upper Siang,4.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,7.0
Upper Subansiri,7.0,2.0,0.0,9.0,2.0,4.0,0.0,6.0,9.0,0.0,14.0
West Kameng,15.0,1.0,0.0,16.0,34.0,7.0,0.0,41.0,22.0,2.0,23.0
West Siang,11.0,8.0,0.0,19.0,8.0,8.0,0.0,16.0,31.0,21.0,66.0
