District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priorityrityrityrity Total Sector,Loans to weaker No.,Loans to weaker Amt
Anjaw,0,0,1,0,0,0,1,0,0
Changlang,0,2,0,0,0,0,2,1,0.02
Dibang Valley,0,0,0,0,0,0,0,1,0.01
East Kameng,0,0,5,0,0,0,5,2,1.42
East Siang,0,6,16,0,0,0,22,312,691.82
Kamle,0,0,0,0,0,0,0,3,2.51
Kra Daadi,0,0,0,0,0,0,0,22,212.83
Kurung Kumey,0,0,0,0,0,0,0,2,0.08
Lepa Rada,0,0,3,0,0,0,3,0,0
Lohit,0,5,4,0,0,0,9,10,0.47
Longding,0,2,0,0,0,0,2,1,0.1
Lower Dibang Valley,0,0,0,0,0,0,0,7,0.42
Lower Siang,0,3,0,0,0,0,3,0,0
Lower Subansiri,0,7,3,0,0,0,10,59,255.11
Namsai,0,2,8,0,0,0,10,3,2
Pakke Kessang,0,0,0,0,0,0,0,0,0
Papum Pare,0,37,41,0,0,1,79,1062,3171.16
Shi Yomi,0,1,0,0,0,0,1,1,3
Siang,0,0,0,0,0,0,0,1,2.5
Tawang,0,1,2,0,0,0,3,40,290.14
Tirap,0,1,5,0,0,0,6,1,0.01
Upper Siang,0,0,0,0,0,0,0,3,0.37
Upper Subansiri,0,5,2,0,0,0,7,35,6.11
West Kameng,0,4,3,0,0,0,7,63,808.83
West Siang,0,3,25,0,0,0,28,46,268.78
