District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,1,0,0,0,1
Changlang,0,16,19,0,0,42,77
Dibang Valley,0,0,8,0,0,4,12
East Kameng,0,3,70,0,0,30,103
East Siang,0,29,110,0,0,424,563
Kamle,0,0,2,0,0,0,2
Kra Daadi,0,0,7,0,0,0,7
Kurung Kumey,0,0,14,0,0,17,31
Lepa Rada,0,1,48,0,0,84,133
Lohit,0,9,18,0,0,45,72
Longding,0,7,1,0,0,0,8
Lower Dibang Valley,0,7,7,0,0,73,87
Lower Siang,0,5,43,0,0,24,72
Lower Subansiri,0,20,101,0,0,276,397
Namsai,0,11,26,0,0,78,115
Pakke Kessang,0,2,22,0,0,0,24
Papum Pare,0,217,829,9,0,979,2034
Shi Yomi,0,2,2,0,0,29,33
Siang,0,0,3,0,0,16,19
Tawang,0,3,18,0,0,46,67
Tirap,0,10,18,0,0,18,46
Upper Siang,0,3,6,0,0,84,93
Upper Subansiri,0,16,98,0,0,141,255
West Kameng,0,11,55,0,0,40,106
West Siang,0,16,109,0,0,177,302
