District,During the Quarter Savings Linked,Target No.,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,26,3,0,26,0,0,0,0
Changlang,721,5,0,721,0,50,38,39.72
Dibang Valley,9,2,0,11,0,0,0,0
East Kameng,149,136,50,154,51,56,2,0.16
East Siang,22,178,12,24,12,30,6,8.08
Kamle,10,21,0,10,0,0,0,0
Kra Daadi,125,64,0,125,1,87,5,7.96
Kurung Kumey,45,8,0,66,0,3,0,0
Lepa Rada,52,34,52,57,52,78,2,0.19
Lohit,65,1,21,65,22,39,3,3.78
Longding,137,109,0,137,0,35,35,100
Lower Dibang Valley,17,177,28,22,31,62,0,0
Lower Siang,11,152,0,21,0,0,0,0
Lower Subansiri,23,11,112,31,122,162,1,0.47
Namsai,43,137,32,40,35,67,2,0.09
Pakke Kessang,64,4,0,64,0,0,0,0
Papum Pare,57,98,69,65,75,242,68,19.22
Shi Yomi,6,18,0,18,0,18,0,0
Siang,66,5,14,69,14,16,0,0
Tawang,93,74,0,98,0,2,0,0
Tirap,581,75,0,581,4,9,4,7.74
Upper Siang,9,39,4,11,5,81,7,2.14
Upper Subansiri,75,161,37,81,37,82,6,3.95
West Kameng,130,142,0,156,27,69,36,18.45
West Siang,26,152,43,46,66,116,23,3.43
