District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,12670,2844,4088
Changlang,123065,43481,53957
Dibang Valley,6896,3616,4228
East Kameng,63336,29010,26734
East Siang,203469,90849,52873
Kamle,6360,1738,2175
Kra Daadi,9410,2551,3131
Kurung Kumey,26750,20098,18960
Lepa Rada,23887,13443,8887
Lohit,46076,21360,16533
Longding,31088,6819,10486
Lower Dibang Valley,52584,27918,22244
Lower Siang,69311,14694,4289
Lower Subansiri,74356,35422,22105
Namsai,65253,37295,31864
Pakke Kessang,4258,1703,1289
Papum Pare,379117,192323,172247
Shi Yomi,8078,4653,4282
Siang,18003,8409,3388
Tawang,53764,19402,19555
Tirap,38514,15723,13232
Upper Siang,38764,25379,16710
Upper Subansiri,84675,46364,29528
West Kameng,81505,30957,28266
West Siang,76992,40505,26348
