District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Anjaw,1,8,13,55.51,65,285.85,485,1630.86
Changlang,33,125.91,215,571.26,457,1816.92,2757,8059.16
Dibang Valley,2,2.51,9,34.27,101,425.21,606,1961.01
East Kameng,7,15.32,19,82.78,205,822.68,3070,7269.11
East Siang,26,30.47,166,440.83,1177,6448.82,7824,30663.97
Kamle,2,4,6,16.04,24,110.98,104,432.11
Kra Daadi,11,82.52,26,212.75,300,1117.95,935,4474.52
Kurung Kumey,2,21.2,4,36.79,45,201.25,844,2390.56
Lepa Rada,1,5,6,22.57,300,1277.95,2386,7084.39
Lohit,12,55.73,60,194.57,837,1827.86,4112,9520.96
Longding,5,35.2,14,68.66,86,344,217,1083.95
Lower Dibang Valley,22,87.12,143,290.24,383,1337.12,2282,6137.76
Lower Siang,10,42.16,57,207.79,190,998.13,786,3154.47
Lower Subansiri,13,61.2,94,371.51,676,3422.6,6295,17640.33
Namsai,27,80.27,120,323.42,650,1888.68,2790,9404
Pakke Kessang,5,37.5,17,82.33,42,225.3,314,897.67
Papum Pare,135,645.24,715,2437.38,3715,33153.39,27950,287402.11
Shi Yomi,1,9,2,18.37,27,105.56,310,934.37
Siang,6,53.5,11,62.13,129,460.57,458,1907.34
Tawang,9,56.18,46,121.94,269,1787.85,1899,7968.91
Tirap,7,37.22,32,148.58,399,1203.11,2848,6426.31
Upper Siang,2,19,24,108.75,182,861.35,1292,3870.43
Upper Subansiri,7,30.2,52,175.98,564,2398.62,4185,14918.76
West Kameng,26,85.98,112,385.87,523,2723.75,4271,13236.28
West Siang,11,101.5,54,256.11,949,4940.38,5249,22415.16
