District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1169,7463,638,1711,10592,1105,12,2892
Changlang,6670,47280,4060,20453,71979,14910,1203,28326
Dibang Valley,831,3115,712,1108,4153,910,28,1967
East Kameng,1536,25447,786,2687,32201,1446,304,4527
East Siang,8972,115752,5264,24617,146527,14813,1806,35395
Kamle,267,3556,246,439,5111,418,0,706
Kra Daadi,371,4623,241,524,7373,375,6,901
Kurung Kumey,660,5506,350,894,8064,523,90,1644
Lepa Rada,1198,11801,786,1546,16021,1052,49,2793
Lohit,5799,25376,3423,9266,34891,6568,456,15521
Longding,1011,15457,351,3538,24550,1613,30,4579
Lower Dibang Valley,3682,22087,2463,6739,30794,4392,806,11227
Lower Siang,4926,43626,3061,18079,53776,10942,907,23912
Lower Subansiri,4426,41257,3198,6212,52987,4791,362,11000
Namsai,6582,24175,4439,17054,36238,12918,1448,25084
Pakke Kessang,87,2616,81,111,3731,102,3,201
Papum Pare,21188,185376,16489,36905,233958,29422,3953,62046
Shi Yomi,178,3137,139,383,4299,256,2,563
Siang,872,12230,520,1726,16340,1207,163,2761
Tawang,5153,32259,4559,6949,41135,6028,584,12686
Tirap,1776,19251,1447,3129,28624,2308,117,5022
Upper Siang,1783,18596,1542,3303,25131,2369,85,5171
Upper Subansiri,4437,40903,3298,6192,53502,4593,274,10903
West Kameng,8771,51092,6803,13476,67081,10757,1205,23452
West Siang,3118,42215,1926,5167,56224,3388,603,8888
