district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,164,561.01,27,136.31
Changlang,1110,3299.55,248,843.14
Dibang Valley,249,945.86,67,385.43
East Kameng,818,3153.95,108,407.94
East Siang,4675,11595.23,668,2389.43
Kamle,62,163.39,9,54.33
Kra Daadi,687,3029.01,338,987.05
Kurung Kumey,430,1218,40,207.34
Lepa Rada,533,1702.65,70,421.47
Lohit,1699,3607.84,369,785.08
Longding,399,1284.27,141,449.33
Lower Dibang Valley,934,2592.9,180,625.16
Lower Siang,220,881.43,53,239.74
Lower Subansiri,1834,5954.82,235,1267.2
Namsai,1124,3460.66,351,804.06
Pakke Kessang,156,350.81,13,39.83
Papum Pare,17211,51946.81,2473,10576.65
Shi Yomi,88,259.83,1,0.12
Siang,96,488,23,115.62
Tawang,632,2434.71,100,608.17
Tirap,970,2833.71,236,743.32
Upper Siang,357,1244.64,84,425.49
Upper Subansiri,1193,4682.11,216,859.91
West Kameng,1531,4608.59,273,1012.65
West Siang,1646,5831.65,239,1048.42
