district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,1,0,0,0
Changlang,19,8,14,0,0,0
Dibang Valley,8,1,0,0,0,0
East Kameng,70,42,0,0,0,0
East Siang,92,61,8,8,7,7
Kamle,2,0,2,0,0,0
Kra Daadi,0,0,1,0,0,0
Kurung Kumey,14,0,0,0,0,0
Lepa Rada,48,7,0,0,0,0
Lohit,18,1,0,2,1,2
Longding,1,0,1,0,0,0
Lower Dibang Valley,6,0,3,0,0,0
Lower Siang,43,4,68,0,0,0
Lower Subansiri,101,17,11,0,0,0
Namsai,28,2,14,6,6,7
Pakke Kessang,22,1,24,1,0,1
Papum Pare,788,612,342,28,25,28
Shi Yomi,2,1,3,0,0,0
Siang,3,0,3,0,0,0
Tawang,14,2,9,0,0,0
Tirap,18,0,7,0,0,0
Upper Siang,6,0,2,0,0,0
Upper Subansiri,97,52,7,0,0,0
West Kameng,51,9,43,0,0,0
West Siang,108,40,56,5,2,5
