district,total_map_sheet,village,raster_scanning_scanned_sheet,raster_scanning_blurred_or_cropped_village_maps,raster_scanning_balance_village_sheet_for_scanning,digitization_and_georefrencing_final_sheet,digitization_and_georefrencing_final_village,digitization_and_georefrencing_village_pct,printing_stage_print_sheet
Almora,16978,2251,16978,0,0,12007,809,35.94,
Bageshwar,7408,910,7408,15,0,7101,671,73.74,0
Chamoli,3307,1263,3307,89,0,2301,904,71.58,176
Champawat,7251,691,7250,28,1,6119,607,87.84,0
Dehradun,2088,797,2071,132,17,1334,701,87.95,703
Haridwar,638,643,633,20,5,621,601,93.47,557
Nainital,4927,1094,4927,138,0,2009,541,49.45,160
Pauri Garhwal,8004,3473,8004,0,0,6109,1505,43.33,
Pithoragarh,13199,1639,13198,66,1,4401,387,23.61,0
Tehri Garhwal,9624,1868,9624,68,0,5109,783,41.92,150
Udham Singh Nagar,1322,684,1313,16,9,1252,634,92.69,671
Uttarkashi,7705,692,7705,51,0,6119,526,76.01,0
