district,s_no,rcs_pending_less_than_1_year_less_than_1_year_no,rcs_pending_less_than_1_year_less_than_1_year_amt,rcs_pending_1_year_to_3_years_1_year_to_3_years_no,rcs_pending_1_year_to_3_years_1_year_to_3_years_amt,rcs_pending_3_years_to_5_years_3_years_to_5_years_no,rcs_pending_3_years_to_5_years_3_years_to_5_years_amt,rcs_pending_more_than_5_years_more_than_5_years_no,rcs_pending_more_than_5_years_more_than_5_years_amt,rcs_pending_total_r_c_pending_more_than_5_years_no,rcs_pending_total_r_c_pending_more_than_5_years_amt,recovery_against_rc_as_on_30_09_2023_total_r_c_pending_more_than_5_years_no,recovery_against_rc_as_on_30_09_2023_total_r_c_pending_more_than_5_years_amt,recovery_pct_of_amt_total_r_c_pending_more_than_5_years_pct,rcs_pending_less_than_1_year,rcs_pending_1_year_to_3_years_less_than_1_year_amt,rcs_pending_3_years_to_5_years_1_year_to_3_years_amt,rcs_pending_more_than_5_years_3_years_to_5_years_amt
Bageshwar,77,100,88,23,3,0,0,0,0,123,91,39,51,5604,,,,
Chamoli,44,0.85,,1.75,,0.84,,1.4,,4.84,74900,0.15,3600,310,156,35700,14100,9500
Dehradun,1100,55.92,,16.35,,6.96,,1.05,,80.28,494600,19.35,37700,2410,3427,85400,57300,9200
Pauri Garhwal,33,661,638,510,269,65,98,44,22,1280,1027,99,90,876,,,,
Pithoragarh,55,138,210,82,172,218,310,137,119,575,811,203,258,3181,,,,
Rudraprayag,66,273,166,191,107,86,22,23,6,573,301,35,97,3222.9999999999995,,,,
Tehri Garhwal,22,259,97,462,112.00000000000001,146,6,127,147,994,362,59,23,635,,,,
Udham Singh Nagar,1133,6.41,,5.49,,4.4,,0,,16.3,100800,5.47,26300,3356,458,44800,10200,0
Uttarkashi,11,547,323,175,93,62,18,7,2,791,436.00000000000006,171,113.99999999999999,2615,,,,
