district,KCCs for AH and Allied Activities,Farm Production,Dairy,Farm Mechanisation,Poultry,Fisheries,Godown,Clinic,Other,Total IC-Agri O/S
Anjaw,0,0,3,1,6,10,0,0,0,20
Changlang,45,0,11,31,13,48,0,0,0,148
Dibang Valley,0,0,3,1,5,2,0,0,0,11
East Kameng,0,0,3,21,12,28,0,0,11,75
East Siang,298,0,5,23,19,30,0,2,50,427
Kamle,1,0,3,0,5,0,0,0,0,9
Kra Daadi,0,0,6,4,7,17,0,0,10,44
Kurung Kumey,0,0,4,1,7,46,0,0,0,58
Lepa Rada,80,0,3,7,7,7,0,0,0,104
Lohit,135,0,7,16,9,32,0,0,7,206
Longding,22,0,7,6,14,37,0,0,0,86
Lower Dibang Valley,33,0,6,53,1,39,0,0,11,143
Lower Siang,107,0,6,15,1,8,0,0,6,143
Lower Subansiri,272,0,6,3,14,57,0,0,49,401
Namsai,50,0,21,89,172,68,0,1,7,408
Pakke Kessang,0,0,1,0,1,27,0,0,0,29
Papum Pare,798,0,19,111,135,108,5,1,376,1553
Shi Yomi,0,0,0,0,0,0,0,0,0,0
Siang,35,0,3,2,2,8,0,0,2,52
Tawang,0,0,7,0,0,0,0,0,2,9
Tirap,1,0,8,0,17,61,0,0,0,87
Upper Siang,72,0,2,12,0,0,0,0,11,97
Upper Subansiri,250,0,7,12,10,9,0,0,24,312
West Kameng,61,0,12,9,10,4,0,0,40,136
West Siang,50,0,2,14,10,32,1,0,35,144
