district,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS Total
Anjaw,0,0,1,0,0,0,1
Changlang,0,17,21,0,0,18,56
Dibang Valley,0,0,2,0,0,3,5
East Kameng,0,2,51,0,0,77,130
East Siang,0,28,67,0,0,23,118
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,0,1
Kurung Kumey,0,0,15,0,0,14,29
Lepa Rada,0,1,26,0,0,24,51
Lohit,0,15,16,0,0,25,56
Longding,0,12,0,0,0,0,12
Lower Dibang Valley,0,7,12,0,0,25,44
Lower Siang,0,8,27,0,0,0,35
Lower Subansiri,0,22,61,0,0,83,166
Namsai,0,15,29,0,0,884,928
Pakke Kessang,0,0,18,0,0,0,18
Papum Pare,0,186,520,169,0,324,1199
Shi Yomi,0,0,2,0,0,19,21
Siang,0,0,0,0,0,1,1
Tawang,0,2,22,0,0,41,65
Tirap,0,10,16,0,0,8,34
Upper Siang,0,2,3,0,0,91,96
Upper Subansiri,0,11,60,0,0,60,131
West Kameng,0,17,41,0,0,21,79
West Siang,0,5,56,0,1,33,95
