district,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,445,0,496,0,1,96,2,0,3,1043
Changlang,1309,69,1125,0,7,272,461,1,29,3273
Dibang Valley,257,0,271,0,0,57,3,0,0,588
East Kameng,365,5,383,0,3,82,60,0,2,900
East Siang,1047,23,1325,9,59,231,279,82,43,3098
Kamle,541,3,528,0,0,130,31,0,5,1238
Kra Daadi,847,7,372,0,15,288,681,0,122,2332
Kurung Kumey,525,2,15,0,13,142,569,0,15,1281
Lepa Rada,618,1,589,0,38,140,13,0,4,1403
Lohit,2134,16,2121,0,167,730,237,0,24,5429
Longding,1578,3,40,0,1,291,1571,0,29,3513
Lower Dibang Valley,816,60,724,0,29,195,283,0,11,2118
Lower Siang,560,2,463,0,30,98,76,1,5,1235
Lower Subansiri,1270,22,736,1,157,337,705,58,44,3330
Namsai,1653,82,1701,0,38,887,1059,0,272,5692
Pakke Kessang,209,7,453,0,8,131,57,0,4,869
Papum Pare,5123,166,7655,48,180,1448,3580,274,2228,20702
Shi Yomi,5,0,17,0,0,0,10,0,1,33
Siang,228,0,221,0,34,57,1,0,1,542
Tawang,524,6,833,0,6,67,844,170,20,2470
Tirap,1205,2,933,0,1,281,288,1,12,2723
Upper Siang,355,0,288,0,5,85,2,0,3,738
Upper Subansiri,1001,12,862,0,102,221,32,0,35,2265
West Kameng,1068,14,1566,18,53,231,1532,206,41,4729
West Siang,968,9,1366,6,14,271,85,73,11,2803
