district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,1,8,9
Changlang,0,0,0,19,73,92
Dibang Valley,0,0,0,23,12,35
East Kameng,0,0,0,12,84,96
East Siang,0,0,0,37,153,190
Kamle,0,0,0,0,5,5
Kra Daadi,0,0,0,1,7,8
Kurung Kumey,0,0,0,15,28,43
Lepa Rada,0,0,0,32,38,70
Lohit,0,0,0,7,27,34
Longding,0,0,0,2,46,48
Lower Dibang Valley,0,0,0,10,68,78
Lower Siang,0,0,0,2,26,28
Lower Subansiri,0,0,0,54,272,326
Namsai,0,0,2,41,90,133
Pakke Kessang,0,0,0,0,5,5
Papum Pare,1,0,15,474,1321,1811
Shi Yomi,0,0,1,10,13,24
Siang,0,0,0,1,3,4
Tawang,0,0,1,38,32,71
Tirap,0,0,0,6,28,34
Upper Siang,0,0,0,18,31,49
Upper Subansiri,0,0,0,10,128,138
West Kameng,0,0,1,23,116,140
West Siang,1,0,0,27,77,105
