district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.5,54,114.27,8,55.45,63,170.22
Changlang,25,4.81,127,208.36,21,47.89,173,261.06
Dibang Valley,0,0,1,3.8,1,0.03,2,3.83
East Kameng,3,0.41,18,28.14,9,63.2,30,91.75
East Siang,27,7.76,155,290.53,43,221.28,225,519.57
Kamle,2,0.51,102,105.38,16,44.03,120,149.92
Kra Daadi,11,2.74,70,62.78,17,84.54,98,150.06
Kurung Kumey,8,0.44,99,89.24,3,2.82,110,92.5
Lepa Rada,22,4.85,89,140.42,20,108.73,131,254
Lohit,15,1.73,77,114.2,19,131.5,111,247.43
Longding,88,16.37,124,207,15,41.94,227,265.31
Lower Dibang Valley,15,2.02,31,28.21,12,56.18,58,86.41
Lower Siang,4,1.44,29,54.06,11,65.05,44,120.55
Lower Subansiri,30,5.85,133,268,31,145.03,194,418.88
Namsai,319,116.78,74,143.64,25,114.85,418,375.27
Pakke Kessang,2,0.53,4,4.48,2,14.2,8,19.21
Papum Pare,133,22.68,321,581.6,153,772.67,607,1376.95
Shi Yomi,0,0,1,0.06,1,9,2,9.06
Siang,2,1,23,32.45,0,0,25,33.45
Tawang,5,1.54,37,69.47,29,165.07,71,236.08
Tirap,12,3.37,54,52.52,4,18.2,70,74.09
Upper Siang,13,1.46,57,66.08,6,31.71,76,99.25
Upper Subansiri,14,0.09,88,93.78,29,110.44,131,204.31
West Kameng,14,2.9,66,107.29,40,194.92,120,305.11
West Siang,15,2.67,116,253.45,48,146.94,179,403.06
