District,Micro,Small,Medium,Other Msme,Msme Total
Anjaw,35,10,0,0,45
Changlang,86,542,0,0,628
Dibang Valley,11,19,0,0,30
East Kameng,109,111,0,44,264
East Siang,1238,223,1,219,1681
Kamle,32,37,0,0,69
Kra Daadi,62,301,0,0,363
Kurung Kumey,33,173,0,4,210
Lepa Rada,76,46,0,0,122
Lohit,264,213,1,6,484
Longding,44,252,1,0,297
Lower Dibang Valley,318,169,0,6,493
Lower Siang,160,37,0,1,198
Lower Subansiri,482,335,1,10,828
Namsai,350,225,0,3,578
Pakke Kessang,11,65,0,0,76
Papum Pare,5820,1119,38,1318,8295
Shi Yomi,4,26,0,0,30
Siang,36,32,0,0,68
Tawang,430,83,0,2,515
Tirap,39,256,0,0,295
Upper Siang,44,24,0,3,71
Upper Subansiri,283,192,0,16,491
West Kameng,911,369,1,3,1284
West Siang,412,164,7,2,585
