District,Micro,Small,Medium,KVIC,Others under MSMEs,Cluster Finance,Msme Total
Anjaw,7,0,0,0,0,0,7
Changlang,56,32,0,0,0,0,88
Dibang Valley,4,0,0,0,0,0,4
East Kameng,11,0,0,0,0,0,12
East Siang,74,1,0,0,0,3,121
Kamle,20,0,0,0,0,0,20
Kra Daadi,34,0,0,0,0,0,34
Kurung Kumey,14,0,0,0,1,0,15
Lepa Rada,21,0,0,0,0,0,21
Lohit,74,1,0,0,0,0,92
Longding,90,3,0,0,0,0,93
Lower Dibang Valley,61,1,0,0,1,0,79
Lower Siang,67,0,0,0,0,0,67
Lower Subansiri,48,2,0,2,0,0,60
Namsai,61,1,0,0,0,0,76
Pakke Kessang,4,0,0,0,0,0,4
Papum Pare,526,60,7,4,1,9,767
Shi Yomi,6,0,0,0,1,0,7
Siang,11,0,0,0,0,0,11
Tawang,36,2,0,0,0,2,53
Tirap,18,3,0,0,0,0,21
Upper Siang,19,0,0,0,0,0,19
Upper Subansiri,47,2,0,0,0,0,49
West Kameng,145,10,0,0,1,0,171
West Siang,73,2,7,0,0,0,88
