District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priorityrityrityrity Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,98
Changlang,0,3,1,0,0,0,4,284
Dibang Valley,0,0,0,0,0,0,0,27
East Kameng,0,0,2,0,0,0,2,65
East Siang,0,5,1,0,0,0,6,202
Kamle,0,0,0,0,0,0,0,212
Kra Daadi,0,0,0,0,0,0,0,335
Kurung Kumey,0,0,0,0,0,0,0,199
Lepa Rada,0,0,1,0,0,0,1,172
Lohit,0,2,0,0,0,0,2,334
Longding,0,1,0,0,0,0,1,237
Lower Dibang Valley,0,2,2,0,0,0,4,110
Lower Siang,0,0,2,0,0,0,2,73
Lower Subansiri,0,4,2,0,0,2,8,270
Namsai,0,4,1,0,0,296,301,484
Pakke Kessang,0,0,0,0,0,0,0,8
Papum Pare,0,12,12,0,0,2,26,791
Shi Yomi,0,0,0,0,0,0,0,6
Siang,0,0,0,0,0,0,0,58
Tawang,0,0,3,0,0,0,3,65
Tirap,0,0,0,0,0,0,0,164
Upper Siang,0,0,0,0,0,0,0,78
Upper Subansiri,0,0,1,0,0,0,1,149
West Kameng,0,2,1,0,0,0,3,196
West Siang,0,0,2,0,1,0,3,184
