district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,13731.29,0.0,0.0,13731.29,4270.17,0.0,0.0,4270.17,31.1,,,31.1
Changlang,84189.86,3252.76,0.0,87442.62,27964.35,1523.94,0.0,29488.29,33.22,46.85,,33.72
Dibang Valley,24731.83,1705.49,0.0,26437.32,3621.18,277.07,0.0,3898.25,14.64,16.25,,14.75
East Kameng,1209.0,32399.88,0.0,33608.88,545.0,20440.57,0.0,20985.57,45.08,63.09,,62.44
East Siang,30098.53,149334.76,0.0,179433.29,7611.79,63922.75,0.0,71534.54,25.29,42.81,,39.87
Kamle,3740.58,0.0,0.0,3740.58,2361.45,0.0,0.0,2361.45,63.13,,,63.13
Kra Daadi,8484.76,0.0,0.0,8484.76,5501.71,0.0,0.0,5501.71,64.84,,,64.84
Kurung Kumey,8823.51,4517.37,0.0,13340.88,5529.23,2290.39,0.0,7819.62,62.66,50.7,,58.61
Lepa Rada,35559.59,1855.16,0.0,37414.75,11524.49,1377.99,0.0,12902.48,32.41,74.28,,34.49
Lohit,8792.78,49824.05,0.0,58616.83,3427.64,21519.76,0.0,24947.4,38.98,43.19,,42.56
Longding,18578.71,0.0,0.0,18578.71,13028.85,0.0,0.0,13028.85,70.13,,,70.13
Lower Dibang Valley,2565.0,79092.41,0.0,81657.41,1899.88,22586.32,0.0,24486.2,74.07,28.56,,29.99
Lower Siang,28387.94,0.0,0.0,28387.94,16022.07,0.0,0.0,16022.07,56.44,,,56.44
Lower Subansiri,9599.73,86747.35,0.0,96347.08,4689.88,37829.7,0.0,42519.58,48.85,43.61,,44.13
Namsai,33397.46,37094.11,0.0,70491.57,13537.01,16438.4,0.0,29975.41,40.53,44.32,,42.52
Pakke Kessang,3878.03,0.0,0.0,3878.03,3474.9,0.0,0.0,3474.9,89.6,,,89.6
Papum Pare,95136.98,1280430.77,0.0,1375567.75,47005.58,434343.19,0.0,481348.77,49.41,33.92,,34.99
Shi Yomi,13170.13,2269.44,0.0,15439.57,1087.75,322.78,0.0,1410.53,8.26,14.22,,9.14
Siang,15061.4,0.0,0.0,15061.4,4355.46,0.0,0.0,4355.46,28.92,,,28.92
Tawang,39695.37,148398.15,0.0,188093.52,6538.01,17791.05,0.0,24329.06,16.47,11.99,,12.93
Tirap,37555.74,2195.22,0.0,39750.96,18159.14,1353.97,0.0,19513.11,48.35,61.68,,49.09
Upper Siang,44753.71,2827.13,0.0,47580.84,9268.19,605.15,0.0,9873.34,20.71,21.41,,20.75
Upper Subansiri,21012.27,46999.18,0.0,68011.45,14659.36,27718.41,0.0,42377.77,69.77,58.98,,62.31
West Kameng,138580.89,500.83,0.0,139081.72,52316.51,2477.32,0.0,54793.83,37.75,494.64,,39.4
West Siang,2330.0,106304.36,0.0,108634.36,514.13,39739.65,0.0,40253.78,22.07,37.38,,37.05
