District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,40,1,0,1,42
Changlang,251,368,0,0,619
Dibang Valley,3,10,0,0,13
East Kameng,7,1399,0,1,1407
East Siang,160,707,0,3,870
Kamle,12,0,0,0,12
Kra Daadi,18,10,0,0,28
Kurung Kumey,2,15,0,0,17
Lepa Rada,32,455,0,0,487
Lohit,561,681,0,0,1242
Longding,151,32,0,0,183
Lower Dibang Valley,139,112,0,0,251
Lower Siang,36,3,0,0,39
Lower Subansiri,174,786,0,0,960
Namsai,201,534,0,13,748
Pakke Kessang,81,1,0,0,82
Papum Pare,3927,1692,0,11,5630
Shi Yomi,0,0,0,0,0
Siang,3,3,0,0,6
Tawang,8,20,0,0,28
Tirap,81,947,0,0,1028
Upper Siang,0,65,0,0,65
Upper Subansiri,172,698,0,1,871
West Kameng,49,753,0,0,802
West Siang,278,170,0,2,450
