District,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Pct
Anjaw,211,0,211,0,1,0,0
Changlang,1252,4,1252,3,7,0,0
Dibang Valley,30,0,30,0,0,0,0
East Kameng,190,0,191,0,3,0,0
East Siang,32,10,32,10,59,0,0
Kamle,83,0,83,0,0,0,0
Kra Daadi,220,0,220,0,15,0,0
Kurung Kumey,128,0,128,0,15,0,0
Lepa Rada,92,6,92,6,41,0,0
Lohit,176,12,176,12,170,0,0
Longding,554,0,554,0,1,0,0
Lower Dibang Valley,22,12,22,12,39,0,0
Lower Siang,12,3,12,3,30,0,0
Lower Subansiri,57,10,57,10,185,2,1.57
Namsai,50,4,50,4,90,2,10.69
Pakke Kessang,109,1,109,1,8,0,0
Papum Pare,407,3,407,6,227,68,21.25
Shi Yomi,4,0,4,0,4,1,22.46
Siang,107,5,107,5,34,0,0
Tawang,252,2,252,2,6,0,0
Tirap,745,0,745,0,1,0,0
Upper Siang,45,0,45,0,5,0,0
Upper Subansiri,244,9,244,9,104,2,2.2
West Kameng,436,16,436,16,60,1,5.92
West Siang,14,0,14,0,20,0,0
