District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,347,1082.92,39,99.64
Changlang,1852,6358.92,248,697.17
Dibang Valley,308,1180.74,23,144.01
East Kameng,1326,5364.85,97,293.24
East Siang,4423,20365,428,1981.1
Kamle,282,578.42,79,69.7
Kra Daadi,687,1439.77,117,154.19
Kurung Kumey,887,2143.89,85,123.58
Lepa Rada,890,3250.09,87,236.89
Lohit,2414,7176.59,271,634.83
Longding,1033,2664.69,131,282.44
Lower Dibang Valley,1997,6241.46,224,503.07
Lower Siang,669,3271.37,83,370.24
Lower Subansiri,2910,11871.6,267,885.39
Namsai,2912,8514.17,487,845.36
Pakke Kessang,309,799.41,11,85.69
Papum Pare,22054,115099.51,1953,10878.12
Shi Yomi,219,492.14,4,15.16
Siang,291,1196.04,41,142.66
Tawang,1049,4627.87,117,568.2
Tirap,1403,4847.72,96,321.39
Upper Siang,621,2473.35,66,408.06
Upper Subansiri,2083,8244.42,113,543.88
West Kameng,2347,10659.9,245,1161.08
West Siang,2034,9752.5,155,855.48
