District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,58,0,0,12,0,0,0,0,0,0,70
Changlang,149,0,0,57,78,0,0,1,0,1,286
Dibang Valley,23,0,0,0,0,0,0,0,0,0,23
East Kameng,52,0,0,0,2,2,0,1,0,0,57
East Siang,104,0,0,58,33,6,2,8,0,17,228
Kamle,191,0,0,3,0,0,0,0,0,0,194
Kra Daadi,247,0,0,55,4,1,1,0,0,1,309
Kurung Kumey,129,0,0,1,0,0,0,0,0,0,130
Lepa Rada,52,0,0,90,12,0,0,0,0,6,160
Lohit,287,0,0,5,2,0,0,0,0,4,298
Longding,118,0,0,24,0,0,0,0,0,2,144
Lower Dibang Valley,52,0,0,8,0,3,3,5,0,2,73
Lower Siang,17,0,0,12,53,3,0,0,0,2,87
Lower Subansiri,173,0,0,42,86,2,2,2,0,8,315
Namsai,260,0,0,14,0,1,4,15,0,1,295
Pakke Kessang,4,0,0,3,0,0,0,0,0,0,7
Papum Pare,201,0,0,112,29,4,3,61,1,10,421
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0
Siang,36,0,0,14,23,1,0,0,0,1,75
Tawang,41,0,0,18,0,0,0,3,0,0,62
Tirap,162,0,0,1,0,0,0,0,0,0,163
Upper Siang,13,0,0,55,4,1,0,0,0,0,73
Upper Subansiri,86,0,0,18,10,2,1,0,0,5,122
West Kameng,107,0,0,2,0,0,0,0,0,1,110
West Siang,27,0,0,55,19,0,3,4,0,1,109
