District,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,1,837,837,7422,5
Changlang,5,10885,10638,70278,41
Dibang Valley,0,100,99,5323,32
East Kameng,1,6308,5314,56899,24
East Siang,20,11982,12550,49178,109
Kamle,3,139,139,4902,4
Kra Daadi,0,962,962,5534,28
Kurung Kumey,0,1244,960,23813,55
Lepa Rada,0,1421,1282,14202,47
Lohit,4,5792,5380,32206,267
Longding,2,4649,4649,18279,21
Lower Dibang Valley,28,3862,3683,32401,176
Lower Siang,16,9542,9542,7680,10
Lower Subansiri,6,4886,4208,37627,268
Namsai,1,5554,4607,45476,349
Pakke Kessang,0,121,121,3028,5
Papum Pare,237,22562,18049,174035,2135
Shi Yomi,0,599,564,6839,0
Siang,1,2568,2568,5146,1
Tawang,7,2605,1048,31961,29
Tirap,1,5099,4523,34899,20
Upper Siang,3,996,940,23859,61
Upper Subansiri,2,6799,5171,43732,98
West Kameng,11,5321,4193,47091,166
West Siang,101,5449,4950,32910,16
