District,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,5,0,0,0
Changlang,22,19,12,0,0,0
Dibang Valley,4,0,0,0,0,0
East Kameng,36,205,1,0,0,0
East Siang,73,203,30,0,0,0
Kamle,1,4,2,0,0,0
Kra Daadi,0,4,1,0,0,0
Kurung Kumey,15,10,2,0,0,0
Lepa Rada,32,113,56,2,0,2
Lohit,18,21,6,0,0,0
Longding,0,20,9,0,0,0
Lower Dibang Valley,11,9,4,0,0,0
Lower Siang,28,223,123,0,0,0
Lower Subansiri,60,137,32,0,0,0
Namsai,26,24,13,0,0,0
Pakke Kessang,16,7,21,1,0,1
Papum Pare,503,2224,270,0,0,0
Shi Yomi,1,3,3,0,0,0
Siang,1,4,3,0,0,0
Tawang,17,36,6,0,0,0
Tirap,16,15,13,0,0,0
Upper Siang,3,3,2,0,0,0
Upper Subansiri,70,220,16,0,0,0
West Kameng,42,112,62,3,0,3
West Siang,67,306,23,3,0,3
