District,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1493,0,668,825,1493,43,132.15,1278,312,815
Changlang,46698,689,21297,26046,47343,2645,1860.68,41820,8755,16033
Dibang Valley,434,30,255,209,464,25,213.31,332,9,279
East Kameng,4408,9915,6397,7897,14294,1493,1087.41,9980,5005,7646
East Siang,41620,24122,29712,34827,64539,22300,3264.76,43752,6916,26344
Kamle,1368,0,529,839,1368,17,136.93,1188,40,845
Kra Daadi,2880,0,1082,1796,2878,372,203.99,3272,462,1402
Kurung Kumey,2854,848,1701,2000,3701,559,419.32,3167,901,1490
Lepa Rada,2776,454,1562,1665,3227,488,310.22,1991,932,1119
Lohit,5561,6745,5525,6777,12302,3379,625.18,9473,3422,6569
Longding,10202,0,3368,6833,10201,239,448.67,9020,2591,6120
Lower Dibang Valley,4225,10153,6836,7533,14369,3844,757.55,12373,2554,7834
Lower Siang,38754,0,19137,19613,38750,19294,809.81,15018,6905,13827
Lower Subansiri,6117,5387,5104,6380,11484,1536,1252.62,9115,2644,5119
Namsai,13746,16779,11338,13000,24338,4169,1455.85,21057,4611,21394
Pakke Kessang,488,0,253,235,488,7,24.58,245,7,389
Papum Pare,27771,26820,27351,32697,60048,8204,3667.35,46160,16788,32459
Shi Yomi,1526,0,714,812,1526,119,481.75,1757,418,553
Siang,4919,0,2629,2286,4915,2185,574.16,2691,1475,2202
Tawang,3971,1299,2881,2385,5266,457,718.25,4093,1656,2993
Tirap,14664,0,6036,8622,14658,603,1064.23,13976,3731,7858
Upper Siang,4325,239,2123,2436,4559,2982,565.48,1502,209,3124
Upper Subansiri,5770,13841,9059,10535,19594,5421,2049.29,15004,3860,9903
West Kameng,15056,47,6962,8137,15099,2036,1335.99,11671,3301,7561
West Siang,4267,9895,8184,8106,16290,2762,1586.7,9095,2555,7573
