district,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,387901,7,0,0,2,1473
Changlang,4009540,35,523,240,1312,16991
Dibang Valley,237355,0,0,0,425,1008
East Kameng,1916033,62,605,1197,2812,6327
East Siang,5431016,2970,4445,18282,26972,17835
Kamle,331391,0,0,0,1,957
Kra Daadi,445757,0,0,11,589,1969
Kurung Kumey,349527,4,0,0,2686,1730
Lepa Rada,990666,12,68,79,1222,3814
Lohit,2043988,39,332,6315,4029,9008
Longding,1319235,0,0,0,65,5698
Lower Dibang Valley,1914179,59,2377,10108,8114,7786
Lower Siang,1141565,0,0,25,836,5963
Lower Subansiri,2888613,54,1109,5528,12705,10461
Namsai,1845290,187,9700,6562,3454,10740
Pakke Kessang,314587,0,0,0,98,1491
Papum Pare,18461656,346884,41439,188256,226586,104718
Shi Yomi,149950,0,0,0,270,2073
Siang,576700,0,0,9,331,2113
Tawang,1449380,13,1158,4456,10081,13693
Tirap,1690537,14,0,5,374,12793
Upper Siang,945587,6,0,2,1885,3481
Upper Subansiri,2245745,21,0,604,9332,8510
West Kameng,3800462,3,875,1920,13388,40880
West Siang,3668608,0,674,3588,23584,12410
