district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,17,3,19,0,0,0,39
Changlang,1170,59,595,16,0,0,1840
Dibang Valley,19,4,7,0,0,0,30
East Kameng,1012,80,147,8,0,0,1247
East Siang,515,179,67,26,0,1,788
Kamle,53,1,1,0,0,0,55
Kra Daadi,795,1,5,1,0,0,802
Kurung Kumey,1295,13,12,0,0,0,1320
Lepa Rada,270,26,55,0,0,0,351
Lohit,189,95,356,8,0,0,648
Longding,2914,12,19,3,0,0,2948
Lower Dibang Valley,596,50,68,5,0,0,719
Lower Siang,320,16,16,2,0,0,354
Lower Subansiri,2620,199,151,17,0,0,2987
Namsai,384,45,2308,3,0,0,2740
Pakke Kessang,140,9,9,3,0,0,161
Papum Pare,10989,1561,1819,66,2,7,14444
Shi Yomi,34,1,107,0,0,0,142
Siang,14,1,15,0,0,0,30
Tawang,90,38,2414,33,1,0,2576
Tirap,1776,16,345,2,0,0,2139
Upper Siang,167,10,107,0,0,0,284
Upper Subansiri,378,43,66,1,0,0,488
West Kameng,449,101,4547,35,0,1,5133
West Siang,203,80,275,9,0,1,568
