district,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,4,35,39
Changlang,0,0,0,0,2,37,398,437
Dibang Valley,0,0,0,0,0,3,40,43
East Kameng,0,0,0,0,5,21,122,148
East Siang,0,0,0,0,27,121,895,1043
Kamle,0,0,0,0,0,0,8,8
Kra Daadi,0,0,0,0,0,6,30,36
Kurung Kumey,0,0,0,0,4,5,30,39
Lepa Rada,0,0,0,0,6,21,99,126
Lohit,0,0,0,1,1,52,382,436
Longding,0,0,0,0,3,5,104,112
Lower Dibang Valley,0,0,0,0,0,76,491,567
Lower Siang,0,0,0,0,24,13,131,168
Lower Subansiri,0,0,0,0,9,45,347,401
Namsai,0,0,0,0,3,41,546,590
Pakke Kessang,0,0,0,0,1,4,33,38
Papum Pare,1,0,0,3,162,673,4506,5345
Shi Yomi,0,0,0,0,0,0,14,14
Siang,0,0,0,0,0,14,27,41
Tawang,0,0,0,0,4,69,401,474
Tirap,0,0,0,0,4,7,148,159
Upper Siang,0,0,0,0,0,8,95,103
Upper Subansiri,0,0,0,0,12,44,193,249
West Kameng,0,0,0,0,22,62,718,802
West Siang,1,0,0,0,29,34,331,395
