District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1611,7258,1509,1973,10553,1876,46,3630
Changlang,8018,50664,7675,25305,79545,24422,3264,36587
Dibang Valley,644,2978,635,984,4093,975,66,1694
East Kameng,3679,31058,2410,6828,41042,5125,863,11370
East Siang,15682,146080,6161,43829,184297,20024,4002,63513
Kamle,732,3527,727,1451,5290,1437,22,2205
Kra Daadi,1593,6823,780,2148,9934,1021,55,3796
Kurung Kumey,1371,5399,1038,1705,7897,1335,175,3251
Lepa Rada,2032,13142,1402,3257,18027,2293,590,5879
Lohit,7724,30149,6037,17034,41631,13840,1224,25982
Longding,1789,15983,1452,5551,26697,5027,245,7585
Lower Dibang Valley,5047,24280,2927,9522,34106,6549,1441,16010
Lower Siang,6099,92856,2664,17375,106015,10736,2631,26105
Lower Subansiri,6840,46700,3400,16531,61430,11079,606,23977
Namsai,7970,32655,4930,20812,48178,13796,2959,31741
Pakke Kessang,285,2524,281,469,3830,456,41,795
Papum Pare,35174,209464,20799,67631,268843,42137,7607,110412
Shi Yomi,391,3537,334,558,4746,537,71,1020
Siang,1533,14033,439,4584,19234,1262,225,6342
Tawang,5512,32710,4607,8315,42487,6872,840,14667
Tirap,2482,18824,2147,5141,28784,4683,212,7835
Upper Siang,5278,19953,1527,8803,27368,3278,265,14346
Upper Subansiri,9383,53919,4787,16842,71151,9272,658,26883
West Kameng,9192,53862,7948,17221,72497,14663,2002,28415
West Siang,6212,46539,2727,11898,62553,6226,1323,19433
