District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Pct
Anjaw,4,211,34,249,0.79
Changlang,486,748,61,1295,1.27
Dibang Valley,5,126,13,144,0
East Kameng,107,197,67,371,12.05
East Siang,233,710,256,1199,5.74
Kamle,21,291,49,361,7.67
Kra Daadi,305,299,59,663,12.51
Kurung Kumey,137,335,36,508,9.15
Lepa Rada,116,323,39,478,2.09
Lohit,182,583,70,835,3.7
Longding,266,623,39,928,6.78
Lower Dibang Valley,168,370,99,637,2.58
Lower Siang,57,333,35,425,8.99
Lower Subansiri,390,718,186,1294,9.75
Namsai,1134,759,122,2015,11.88
Pakke Kessang,74,346,9,429,4.63
Papum Pare,1269,1943,1208,4420,20.54
Shi Yomi,9,9,12,30,25.52
Siang,46,158,21,225,8.96
Tawang,129,490,165,784,5.21
Tirap,252,586,35,873,2.11
Upper Siang,53,259,27,339,0.21
Upper Subansiri,167,419,133,719,14.43
West Kameng,310,875,299,1484,4.61
West Siang,252,538,137,927,7.06
