District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,434,35,0,1,470
Changlang,1139,899,0,4,2042
Dibang Valley,271,53,0,0,324
East Kameng,393,2140,0,1,2534
East Siang,825,1169,0,13,2007
Kamle,503,48,0,0,551
Kra Daadi,781,200,0,1,982
Kurung Kumey,534,887,0,0,1421
Lepa Rada,410,848,0,0,1258
Lohit,2143,928,0,108,3179
Longding,1551,87,0,2,1640
Lower Dibang Valley,753,710,0,1,1464
Lower Siang,411,280,0,0,691
Lower Subansiri,1259,2352,0,9,3620
Namsai,1532,1110,1,27,2670
Pakke Kessang,491,20,0,0,511
Papum Pare,5574,2932,2,74,8582
Shi Yomi,1,88,0,0,89
Siang,154,217,0,0,371
Tawang,458,166,0,0,624
Tirap,1280,1470,0,0,2750
Upper Siang,158,466,0,0,624
Upper Subansiri,1057,1160,0,7,2224
West Kameng,1123,946,0,5,2074
West Siang,704,718,4,4,1430
