district,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,8.0,0.0,10.0
Changlang,11.0,3.0,0.0,14.0,12.0,2.0,0.0,14.0,42.0,17.0,67.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
East Kameng,1.0,8.0,0.0,9.0,0.0,10.0,0.0,10.0,16.0,11.0,30.0
East Siang,6.0,13.0,0.0,19.0,3.0,20.0,0.0,23.0,58.0,36.0,104.0
Kamle,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Kra Daadi,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,5.0,2.0,7.0
Kurung Kumey,1.0,3.0,0.0,4.0,2.0,1.0,0.0,3.0,1.0,3.0,5.0
Lepa Rada,3.0,2.0,0.0,5.0,1.0,1.0,0.0,2.0,3.0,1.0,10.0
Lohit,4.0,6.0,0.0,10.0,2.0,11.0,0.0,13.0,8.0,3.0,25.0
Longding,3.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,11.0,1.0,12.0
Lower Dibang Valley,2.0,8.0,0.0,10.0,0.0,12.0,0.0,12.0,39.0,12.0,65.0
Lower Siang,4.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,26.0,17.0,43.0
Lower Subansiri,4.0,11.0,0.0,15.0,4.0,15.0,0.0,19.0,27.0,2.0,37.0
Namsai,4.0,7.0,0.0,11.0,4.0,7.0,0.0,11.0,15.0,15.0,62.0
Pakke Kessang,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
Papum Pare,19.0,59.0,0.0,78.0,13.0,117.0,0.0,130.0,89.0,653.0,754.0
Shi Yomi,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,9.0
Tawang,5.0,6.0,0.0,11.0,4.0,13.0,0.0,17.0,13.0,6.0,23.0
Tirap,3.0,2.0,0.0,5.0,3.0,1.0,0.0,4.0,16.0,10.0,31.0
Upper Siang,4.0,3.0,0.0,7.0,3.0,1.0,0.0,4.0,11.0,1.0,13.0
Upper Subansiri,5.0,3.0,0.0,8.0,2.0,7.0,0.0,9.0,9.0,2.0,22.0
West Kameng,18.0,1.0,0.0,19.0,30.0,2.0,0.0,32.0,25.0,7.0,36.0
West Siang,2.0,9.0,0.0,11.0,1.0,16.0,0.0,17.0,17.0,10.0,41.0
