district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,0,0,16,65.72,121,373.94,936,3217.84
Changlang,15,47.98,206,846.85,364,1677.63,3478,14323.92
Dibang Valley,2,22.01,10,98.91,56,359.37,609,3002.58
East Kameng,0,0,28,133.01,113,425,2281,9953.86
East Siang,15,34.39,156,726.77,578,3728.07,7544,43987.65
Kamle,0,0,8,33.69,216,218.55,676,1615.19
Kra Daadi,2,12.66,14,49.53,78,260.14,959,3035.34
Kurung Kumey,1,0.01,11,70.75,16,110.43,211,1217.41
Lepa Rada,1,1.03,10,45.76,253,1024.42,1966,8612.72
Lohit,6,54.38,82,382.59,416,1087.42,4229,14092.2
Longding,1,0.5,27,131.94,40,132.9,349,1776.63
Lower Dibang Valley,15,42.04,145,459.77,180,1017.15,2128,9459.45
Lower Siang,5,21.77,56,355.75,161,880.03,1530,8614.8
Lower Subansiri,7,28.48,97,374.06,370,2368.36,3884,21164.37
Namsai,8,14.03,154,553.73,413,1383.27,3724,17970.12
Pakke Kessang,1,5.18,31,112.57,24,101.34,697,1948.71
Papum Pare,48,486.73,689,4547.81,2057,35551.9,27417,229068.16
Shi Yomi,0,0,5,14.84,14,81.6,149,853.16
Siang,0,0,5,17.84,104,355.22,837,3159.81
Tawang,9,80.48,47,275.77,172,1392.81,2222,12962.13
Tirap,1,0.5,41,176.31,233,751.78,2517,8999.91
Upper Siang,2,19.57,29,147.29,142,917.48,1386,6539.66
Upper Subansiri,4,69.14,42,281.65,322,2047.98,3854,21494.21
West Kameng,8,108.19,101,553.3,405,6601.81,4590,29156.18
West Siang,7,81.35,58,367.99,446,2611.45,5525,30230.75
