District,NRLM Os,NRLM Irregular,NRLM NPA,NULM Os,NULM NPA,PMEGP Os,PMEGP NPA,SHG Os,SHG NPA,SUI Os,SUI NPA
Anjaw,3,2,0,0,0,4,1,1,0,3,1
Changlang,5,0,0,0,0,13,4,7,0,16,0
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,0,0,10,3,3,0,5,0
East Siang,37,4,0,2,0,26,18,59,0,6,0
Kamle,1,1,0,0,0,13,10,0,0,2,0
Kra Daadi,112,15,0,0,0,21,12,15,0,10,0
Kurung Kumey,2,0,0,0,0,29,17,15,0,11,2
Lepa Rada,14,2,0,0,0,13,1,41,0,22,0
Lohit,29,2,0,1,0,11,2,170,0,8,0
Longding,0,0,0,0,0,6,1,1,0,7,0
Lower Dibang Valley,12,0,0,1,0,6,2,39,0,5,0
Lower Siang,24,1,0,0,0,12,4,30,0,47,1
Lower Subansiri,124,6,0,1,0,89,42,185,2,17,1
Namsai,88,3,2,0,0,10,4,90,2,42,0
Pakke Kessang,3,1,0,0,0,3,1,8,0,1,0
Papum Pare,190,11,55,3,2,594,169,227,68,77,3
Shi Yomi,0,0,0,0,0,9,6,4,1,9,0
Siang,11,0,0,1,0,7,5,34,0,8,0
Tawang,13,4,0,0,0,28,2,6,0,50,2
Tirap,1,1,0,0,0,8,2,1,0,4,0
Upper Siang,0,0,0,0,0,7,0,5,0,7,0
Upper Subansiri,75,8,1,0,0,65,48,104,2,3,0
West Kameng,8,2,0,1,0,74,11,60,1,72,3
West Siang,9,0,0,0,0,32,13,20,0,13,1
