District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,101,554,655,9
Changlang,0,0,19,1120,3847,4986,92
Dibang Valley,0,0,0,58,467,525,35
East Kameng,0,0,194,584,2394,3172,96
East Siang,1,2,196,2610,8661,11470,190
Kamle,0,0,4,51,196,251,5
Kra Daadi,0,0,3,150,428,581,8
Kurung Kumey,0,0,6,140,898,1044,43
Lepa Rada,0,0,90,427,1297,1814,70
Lohit,1,2,20,993,2967,3983,34
Longding,0,0,20,345,1696,2061,48
Lower Dibang Valley,8,0,9,899,4091,5007,78
Lower Siang,0,0,219,289,1370,1878,28
Lower Subansiri,0,0,115,1279,4014,5408,326
Namsai,0,1,26,871,3021,3919,133
Pakke Kessang,0,0,5,114,390,509,5
Papum Pare,6,13,2232,12340,33525,48116,1811
Shi Yomi,0,0,2,19,221,242,24
Siang,0,0,4,158,442,604,4
Tawang,2,0,35,771,3371,4179,71
Tirap,0,0,13,706,2578,3297,34
Upper Siang,0,0,2,311,1228,1541,49
Upper Subansiri,1,0,210,828,2849,3888,138
West Kameng,6,0,113,1293,5556,6968,140
West Siang,1,0,278,1193,4038,5510,105
