District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,3,0,1,0,0,0,4
Changlang,166,5,148,0,0,0,319
Dibang Valley,48,0,4,0,0,0,52
East Kameng,8,12,4,0,0,0,24
East Siang,49,23,6,1,0,0,79
Kamle,3,0,0,0,0,0,3
Kra Daadi,293,0,1,0,0,0,294
Kurung Kumey,360,1,1,0,0,0,362
Lepa Rada,26,1,2,0,0,0,29
Lohit,10,7,31,0,0,0,48
Longding,327,2,2,0,0,0,331
Lower Dibang Valley,107,1,4,0,0,0,112
Lower Siang,24,2,0,0,0,0,26
Lower Subansiri,222,18,6,0,0,0,246
Namsai,62,5,344,1,0,0,412
Pakke Kessang,7,1,0,1,0,0,9
Papum Pare,900,72,187,3,0,0,1162
Shi Yomi,2,0,269,0,0,0,271
Siang,2,0,3,0,0,0,5
Tawang,5,6,206,1,0,0,218
Tirap,109,1,11,0,0,0,121
Upper Siang,20,0,3,0,0,0,23
Upper Subansiri,86,8,2,0,0,0,96
West Kameng,29,15,398,0,0,0,442
West Siang,28,3,14,0,0,0,45
