District,Number of Rural Branches
Anjaw,2
Changlang,7
Dibang Valley,2
East Kameng,2
East Siang,6
Kamle,1
Kra Daadi,1
Kurung Kumey,4
Lepa Rada,0
Lohit,3
Longding,3
Lower Dibang Valley,3
Lower Siang,0
Lower Subansiri,6
Namsai,3
Pakke Kessang,1
Papum Pare,13
Shi Yomi,1
Siang,4
Tawang,6
Tirap,4
Upper Siang,7
Upper Subansiri,5
West Kameng,14
West Siang,11
