District,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Anjaw,13228,7005,4514
Changlang,136158,62102,67041
Dibang Valley,7822,5090,4937
East Kameng,77018,51191,40529
East Siang,188988,119129,49326
Kamle,7425,4769,2604
Kra Daadi,12868,8604,3159
Kurung Kumey,30549,23102,20531
Lepa Rada,27537,18497,11366
Lohit,61268,33034,26418
Longding,39236,18127,14983
Lower Dibang Valley,73605,47883,35987
Lower Siang,80127,54826,7323
Lower Subansiri,81657,47772,27229
Namsai,94465,65336,49536
Pakke Kessang,5034,2904,1576
Papum Pare,411468,238752,183285
Shi Yomi,10398,6434,5670
Siang,21542,14261,3746
Tawang,56956,26965,22372
Tirap,58334,33362,28071
Upper Siang,46645,32742,19662
Upper Subansiri,100506,72282,33042
West Kameng,88695,42680,31163
West Siang,92405,52288,26077
