district,CD RATIO December 2021,CD RATIO March 2022,CD RATIO December 2022,CD RATIO Since December 2021
Dhalai,99,99,98,-1
Gomati,67,63,67,No Change
Khowai,66,58,64,-2
North Tripura,64,62,60,-4
Sepahijala,56,65,69,+13
South Tripura,67,63,65,-2
Unakoti,72,67,69,-3
West Tripura,48,51,50,+2
