District,No. of SHGs,Amount Sanctioned,Outstanding Accounts,Outstanding Amt,Avg ticket size loan outstanding
Dhalai,"2,248","2,893.22",3932,"3,615.57",0.92
Gomati,"2,058","2,868.12",4715,"4,163.28",0.88
Khowai,1256,1257.48,1689,1679.4,0.99
North Tripura,1575,1789.29,2262,"2,453.95",1.08
Sepahijala,1724,2009.49,2522,"2,341.10",0.93
South Tripura,"3,348","6,102.57",6555,"6,485.98",0.99
Unakoti,1262,1406.86,1831,1671.66,0.91
West Tripura,2491,3098.92,3892,3187.77,0.82
